Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
W^0,d,3,t_L B,ttj,W^0 -- (t) -- t_L -- (t) -- B -- (j) -- d, 1j_l + 2t,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,t_L G,ttj,W^0 -- (t) -- t_L -- (t) -- G -- (j) -- d, 1j_l + 2t,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,tau_L B,jTT,W^0 -- (T) -- tau_L -- (T) -- B -- (j) -- d, 1j_l + 2tau,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,nu_tau B,jE,W^0 -- (E) -- nu_tau -- (E) -- B -- (j) -- d, 1j_l + MET,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,H^+ B,vvj,W^0 -- (v) -- H^+ -- (v) -- B -- (j) -- u, 1j_l + 2v,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,H^0 B,vvj,W^0 -- (v) -- H^0 -- (v) -- B -- (j) -- u, 1j_l + 2v,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,q B,jjj,W^0 -- (j) -- q -- (j) -- B -- (j) -- u, 3j_l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,q G,jjj,W^0 -- (j) -- q -- (j) -- G -- (j) -- u, 3j_l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,l B,jll,W^0 -- (l) -- l -- (l) -- B -- (j) -- u, 1j_l + 2l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,nu B,jE,W^0 -- (E) -- nu -- (E) -- B -- (j) -- u, 1j_l + MET,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,b_L B,bbj,W^0 -- (b) -- b_L -- (b) -- B -- (j) -- u, 1j_l + 2b,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,b_L G,bbj,W^0 -- (b) -- b_L -- (b) -- G -- (j) -- u, 1j_l + 2b,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,t_L B,ttj,W^0 -- (t) -- t_L -- (t) -- B -- (j) -- u, 1j_l + 2t,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,t_L G,ttj,W^0 -- (t) -- t_L -- (t) -- G -- (j) -- u, 1j_l + 2t,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,tau_L B,jTT,W^0 -- (T) -- tau_L -- (T) -- B -- (j) -- u, 1j_l + 2tau,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,u,3,nu_tau B,jE,W^0 -- (E) -- nu_tau -- (E) -- B -- (j) -- u, 1j_l + MET,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,l,1,-,l,W^0 -- (l) -- l, 1l,{'l'},['l'],[1],['l']
W^0,nu,1,-,E,W^0 -- (E) -- nu, MET,{'E'},['E'],[1],['E']
