Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,H^0,nu_tau,vTlE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [l,T]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,tau,vTlE,"H^0 -- (v) -- B -- (T) -- tau -- [l,E]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,tau_L,vTTE,"H^0 -- (v) -- B -- (T) -- tau_L -- [E,T]",2, 2tau + 1v + MET
L_3 L E_3,H^0,tau_L,vTE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [E,T]",2, 1tau + 1v + MET
L_3 L E_3,H^0,nu,vTTE,"H^0 -- (v) -- B -- (E) -- nu -- [T,T]",2, 2tau + 1v + MET
L_3 L E_3,H^0,nu,vTTl,"H^0 -- (v) -- W^+ -- (l) -- nu -- [T,T]",2, 1l + 2tau + 1v
L_3 L E_3,H^0,tau,vTTE,"H^0 -- (v) -- B -- (T) -- tau -- [T,E]",2, 2tau + 1v + MET
L L E,q,l,jllE,"q -- (j) -- B -- (l) -- l -- [E,l]",2, 1j_l + 2l + MET
L L E,q,l,jlE,"q -- (j) -- W^+ -- (E) -- l -- [E,l]",2, 1j_l + 1l + MET
L L E,q,nu,jlll,"q -- (j) -- W^+ -- (l) -- nu -- [l,l]",2, 1j_l + 3l
L L E,q,nu,jllE,"q -- (j) -- B -- (E) -- nu -- [l,l]",2, 1j_l + 2l + MET
L L E,q,e,jllE,"q -- (j) -- B -- (l) -- e -- [l,E]",2, 1j_l + 2l + MET
L_3 L E,q,l,jllE,"q -- (j) -- B -- (l) -- l -- [E,l]",2, 1j_l + 2l + MET
L_3 L E,q,l,jlE,"q -- (j) -- W^+ -- (E) -- l -- [E,l]",2, 1j_l + 1l + MET
L_3 L E,q,nu_tau,jTll,"q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]",2, 1j_l + 2l + 1tau
L_3 L E,q,nu_tau,jllE,"q -- (j) -- B -- (E) -- nu_tau -- [l,l]",2, 1j_l + 2l + MET
L_3 L E,q,e,jllE,"q -- (j) -- B -- (l) -- e -- [l,E]",2, 1j_l + 2l + MET
