CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D_3,W^+,W^+,vtbj,bbjjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",vtbbbjjjj, 1j_l + 1t + 1b + 1v, 3j_l + 2b, 4j_l + 1t + 3b + 1v
U D_3 D_3,W^+,W^+,vtbj,bbjTX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",vtbbbjjTX, 1j_l + 1t + 1b + 1v, 1j_l + 2b + 1tau + MET, 2j_l + 1t + 3b + 1tau + 1v + MET
U D_3 D_3,W^+,W^+,vtbj,vtbj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vvttbbjj, 1j_l + 1t + 1b + 1v, 1j_l + 1t + 1b + 1v, 2j_l + 2t + 2b + 2v
U D_3 D_3,W^+,W^+,vtbj,vbbj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vvtbbbjj, 1j_l + 1t + 1b + 1v, 1j_l + 2b + 1v, 2j_l + 1t + 3b + 2v
U D_3 D_3,W^+,W^+,vtbj,vvbbj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvvtbbbjj, 1j_l + 1t + 1b + 1v, 1j_l + 2b + 2v, 2j_l + 1t + 3b + 3v
U D_3 D_3,W^+,W^+,vtbj,bbjlX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",vtbbbjjlX, 1j_l + 1t + 1b + 1v, 1j_l + 2b + 1l + MET, 2j_l + 1t + 3b + 1l + 1v + MET
U D_3 D_3,W^+,W^+,vtbj,tbbbj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",vttbbbbjj, 1j_l + 1t + 1b + 1v, 1j_l + 1t + 3b, 2j_l + 2t + 4b + 1v
U D_3 D_3,W^+,W^+,vbbj,bbjjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",vbbbbjjjj, 1j_l + 2b + 1v, 3j_l + 2b, 4j_l + 4b + 1v
U D_3 D_3,W^+,W^+,vbbj,bbjTX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",vbbbbjjTX, 1j_l + 2b + 1v, 1j_l + 2b + 1tau + MET, 2j_l + 4b + 1tau + 1v + MET
U D_3 D_3,W^+,W^+,vbbj,vtbj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vvtbbbjj, 1j_l + 2b + 1v, 1j_l + 1t + 1b + 1v, 2j_l + 1t + 3b + 2v
U D_3 D_3,W^+,W^+,vbbj,vbbj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vvbbbbjj, 1j_l + 2b + 1v, 1j_l + 2b + 1v, 2j_l + 4b + 2v
U D_3 D_3,W^+,W^+,vbbj,vvbbj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvvbbbbjj, 1j_l + 2b + 1v, 1j_l + 2b + 2v, 2j_l + 4b + 3v
U D_3 D_3,W^+,W^+,vbbj,bbjlX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",vbbbbjjlX, 1j_l + 2b + 1v, 1j_l + 2b + 1l + MET, 2j_l + 4b + 1l + 1v + MET
U D_3 D_3,W^+,W^+,vbbj,tbbbj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",vtbbbbbjj, 1j_l + 2b + 1v, 1j_l + 1t + 3b, 2j_l + 1t + 5b + 1v
U D_3 D_3,W^+,W^+,vvbbj,bbjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",vvbbbbjjjj, 1j_l + 2b + 2v, 3j_l + 2b, 4j_l + 4b + 2v
U D_3 D_3,W^+,W^+,vvbbj,bbjTX,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",vvbbbbjjTX, 1j_l + 2b + 2v, 1j_l + 2b + 1tau + MET, 2j_l + 4b + 1tau + 2v + MET
U D_3 D_3,W^+,W^+,vvbbj,vtbj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vvvtbbbjj, 1j_l + 2b + 2v, 1j_l + 1t + 1b + 1v, 2j_l + 1t + 3b + 3v
U D_3 D_3,W^+,W^+,vvbbj,vbbj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vvvbbbbjj, 1j_l + 2b + 2v, 1j_l + 2b + 1v, 2j_l + 4b + 3v
U D_3 D_3,W^+,W^+,vvbbj,vvbbj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvvvbbbbjj, 1j_l + 2b + 2v, 1j_l + 2b + 2v, 2j_l + 4b + 4v
U D_3 D_3,W^+,W^+,vvbbj,bbjlX,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",vvbbbbjjlX, 1j_l + 2b + 2v, 1j_l + 2b + 1l + MET, 2j_l + 4b + 1l + 2v + MET
U D_3 D_3,W^+,W^+,vvbbj,tbbbj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",vvtbbbbbjj, 1j_l + 2b + 2v, 1j_l + 1t + 3b, 2j_l + 1t + 5b + 2v
U D_3 D_3,W^+,W^+,bbjlX,bbjjj,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",bbbbjjjjlX, 1j_l + 2b + 1l + MET, 3j_l + 2b, 4j_l + 4b + 1l + MET
U D_3 D_3,W^+,W^+,bbjlX,bbjTX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",bbbbjjTlX, 1j_l + 2b + 1l + MET, 1j_l + 2b + 1tau + MET, 2j_l + 4b + 1l + 1tau + MET
U D_3 D_3,W^+,W^+,bbjlX,vtbj,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vtbbbjjlX, 1j_l + 2b + 1l + MET, 1j_l + 1t + 1b + 1v, 2j_l + 1t + 3b + 1l + 1v + MET
U D_3 D_3,W^+,W^+,bbjlX,vbbj,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vbbbbjjlX, 1j_l + 2b + 1l + MET, 1j_l + 2b + 1v, 2j_l + 4b + 1l + 1v + MET
U D_3 D_3,W^+,W^+,bbjlX,vvbbj,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvbbbbjjlX, 1j_l + 2b + 1l + MET, 1j_l + 2b + 2v, 2j_l + 4b + 1l + 2v + MET
U D_3 D_3,W^+,W^+,bbjlX,bbjlX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",bbbbjjllX, 1j_l + 2b + 1l + MET, 1j_l + 2b + 1l + MET, 2j_l + 4b + 2l + MET
U D_3 D_3,W^+,W^+,bbjlX,tbbbj,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",tbbbbbjjlX, 1j_l + 2b + 1l + MET, 1j_l + 1t + 3b, 2j_l + 1t + 5b + 1l + MET
U D_3 D_3,W^+,W^+,tbbbj,bbjjj,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",tbbbbbjjjj, 1j_l + 1t + 3b, 3j_l + 2b, 4j_l + 1t + 5b
U D_3 D_3,W^+,W^+,tbbbj,bbjTX,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",tbbbbbjjTX, 1j_l + 1t + 3b, 1j_l + 2b + 1tau + MET, 2j_l + 1t + 5b + 1tau + MET
U D_3 D_3,W^+,W^+,tbbbj,vtbj,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vttbbbbjj, 1j_l + 1t + 3b, 1j_l + 1t + 1b + 1v, 2j_l + 2t + 4b + 1v
U D_3 D_3,W^+,W^+,tbbbj,vbbj,"['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vtbbbbbjj, 1j_l + 1t + 3b, 1j_l + 2b + 1v, 2j_l + 1t + 5b + 1v
