Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
l,G,3,W^0 q,jjl,l -- (l) -- W^0 -- (j) -- q -- (j) -- G, 2j_l + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,W^0 b_L,bbl,l -- (l) -- W^0 -- (b) -- b_L -- (b) -- G, 2b + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,W^0 t_L,ttl,l -- (l) -- W^0 -- (t) -- t_L -- (t) -- G, 2t + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,H^+,2,B,vl,l -- (l) -- B -- (v) -- H^+, 1l + 1v,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,H^+,2,W^+,vX,l -- (X) -- W^+ -- (v) -- H^+, 1v + MET,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,H^+,2,W^0,vl,l -- (l) -- W^0 -- (v) -- H^+, 1l + 1v,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,H^0,2,B,vl,l -- (l) -- B -- (v) -- H^0, 1l + 1v,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,H^0,2,W^+,vX,l -- (X) -- W^+ -- (v) -- H^0, 1v + MET,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,H^0,2,W^0,vl,l -- (l) -- W^0 -- (v) -- H^0, 1l + 1v,"{'vl', 'vX'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
l,q,2,B,jl,l -- (l) -- B -- (j) -- q, 1j_l + 1l,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
l,q,2,W^+,jX,l -- (X) -- W^+ -- (j) -- q, 1j_l + MET,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
l,q,2,W^0,jl,l -- (l) -- W^0 -- (j) -- q, 1j_l + 1l,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
l,d,2,B,jl,l -- (l) -- B -- (j) -- d, 1j_l + 1l,{'jl'},['jl'],[1],['jl']
l,u,2,B,jl,l -- (l) -- B -- (j) -- u, 1j_l + 1l,{'jl'},['jl'],[1],['jl']
