Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,q,tau_L,jTX,"['q -- (j) -- W^+ -- (X) -- tau_L -- [X,T]']",2, 1j_l + 1tau + MET
L_3 L E_3,q,nu,jTTl,"['q -- (j) -- W^+ -- (l) -- nu -- [T,T]']",2, 1j_l + 1l + 2tau
L_3 L E_3,q,nu,jTTX,"['q -- (j) -- W^0 -- (X) -- nu -- [T,T]', 'q -- (j) -- B -- (X) -- nu -- [T,T]']",2, 1j_l + 2tau + MET
L_3 L E_3,q,tau,jTTX,"['q -- (j) -- B -- (T) -- tau -- [T,X]']",2, 1j_l + 2tau + MET
L L E,d,l,jllX,"['d -- (j) -- B -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L L E,d,nu,jllX,"['d -- (j) -- B -- (X) -- nu -- [l,l]']",2, 1j_l + 2l + MET
L L E,d,e,jllX,"['d -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,d,l,jllX,"['d -- (j) -- B -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L_3 L E,d,nu_tau,jllX,"['d -- (j) -- B -- (X) -- nu_tau -- [l,l]']",2, 1j_l + 2l + MET
L_3 L E,d,e,jllX,"['d -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,d,tau_L,jTlX,"['d -- (j) -- B -- (T) -- tau_L -- [X,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,d,nu,jTlX,"['d -- (j) -- B -- (X) -- nu -- [T,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,d,e,jTlX,"['d -- (j) -- B -- (l) -- e -- [T,X]']",2, 1j_l + 1l + 1tau + MET
L L E_3,d,l,jTlX,"['d -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,d,nu,jTlX,"['d -- (j) -- B -- (X) -- nu -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,d,tau,jTlX,"['d -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,d,l,jTlX,"['d -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,d,nu_tau,jTlX,"['d -- (j) -- B -- (X) -- nu_tau -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,d,tau,jTlX,"['d -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,d,tau_L,jTTX,"['d -- (j) -- B -- (T) -- tau_L -- [X,T]']",2, 1j_l + 2tau + MET
L_3 L E_3,d,nu,jTTX,"['d -- (j) -- B -- (X) -- nu -- [T,T]']",2, 1j_l + 2tau + MET
L_3 L E_3,d,tau,jTTX,"['d -- (j) -- B -- (T) -- tau -- [T,X]']",2, 1j_l + 2tau + MET
L L E,u,l,jllX,"['u -- (j) -- B -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L L E,u,nu,jllX,"['u -- (j) -- B -- (X) -- nu -- [l,l]']",2, 1j_l + 2l + MET
L L E,u,e,jllX,"['u -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,u,l,jllX,"['u -- (j) -- B -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L_3 L E,u,nu_tau,jllX,"['u -- (j) -- B -- (X) -- nu_tau -- [l,l]']",2, 1j_l + 2l + MET
L_3 L E,u,e,jllX,"['u -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,u,tau_L,jTlX,"['u -- (j) -- B -- (T) -- tau_L -- [X,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,u,nu,jTlX,"['u -- (j) -- B -- (X) -- nu -- [T,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,u,e,jTlX,"['u -- (j) -- B -- (l) -- e -- [T,X]']",2, 1j_l + 1l + 1tau + MET
L L E_3,u,l,jTlX,"['u -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,u,nu,jTlX,"['u -- (j) -- B -- (X) -- nu -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,u,tau,jTlX,"['u -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,u,l,jTlX,"['u -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,u,nu_tau,jTlX,"['u -- (j) -- B -- (X) -- nu_tau -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,u,tau,jTlX,"['u -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,u,tau_L,jTTX,"['u -- (j) -- B -- (T) -- tau_L -- [X,T]']",2, 1j_l + 2tau + MET
L_3 L E_3,u,nu,jTTX,"['u -- (j) -- B -- (X) -- nu -- [T,T]']",2, 1j_l + 2tau + MET
L_3 L E_3,u,tau,jTTX,"['u -- (j) -- B -- (T) -- tau -- [T,X]']",2, 1j_l + 2tau + MET
L L E,l,l,lX,"['l -- [X,l]']",0, 1l + MET
L L E,l,e,lllX,"['l -- (l) -- B -- (l) -- e -- [l,X]']",2, 3l + MET
L_3 L E,l,l,lX,"['l -- [X,l]']",0, 1l + MET
L_3 L E,l,nu_tau,lllX,"['l -- (l) -- W^0 -- (X) -- nu_tau -- [l,l]', 'l -- (l) -- B -- (X) -- nu_tau -- [l,l]']",2, 3l + MET
L_3 L E,l,nu_tau,TllX,"['l -- (X) -- W^+ -- (T) -- nu_tau -- [l,l]']",2, 2l + 1tau + MET
L_3 L E,l,e,lllX,"['l -- (l) -- B -- (l) -- e -- [l,X]']",2, 3l + MET
L_3 L E,l,tau_L,TllX,"['l -- (l) -- B -- (T) -- tau_L -- [X,l]', 'l -- (l) -- W^0 -- (T) -- tau_L -- [X,l]']",2, 2l + 1tau + MET
L_3 L E,l,tau_L,lX,"['l -- (X) -- W^+ -- (X) -- tau_L -- [X,l]']",2, 1l + MET
L_3 L E,l,e,TllX,"['l -- (l) -- B -- (l) -- e -- [T,X]']",2, 2l + 1tau + MET
L L E_3,l,l,TX,"['l -- [X,T]']",0, 1tau + MET
L L E_3,l,tau,TllX,"['l -- (l) -- B -- (T) -- tau -- [l,X]']",2, 2l + 1tau + MET
L_3 L E_3,l,l,TX,"['l -- [X,T]']",0, 1tau + MET
L_3 L E_3,l,nu_tau,TllX,"['l -- (l) -- W^0 -- (X) -- nu_tau -- [l,T]', 'l -- (l) -- B -- (X) -- nu_tau -- [l,T]']",2, 2l + 1tau + MET
L_3 L E_3,l,nu_tau,TTlX,"['l -- (X) -- W^+ -- (T) -- nu_tau -- [l,T]']",2, 1l + 2tau + MET
L_3 L E_3,l,tau,TllX,"['l -- (l) -- B -- (T) -- tau -- [l,X]']",2, 2l + 1tau + MET
L_3 L E_3,l,tau_L,TTlX,"['l -- (l) -- W^0 -- (T) -- tau_L -- [X,T]', 'l -- (l) -- B -- (T) -- tau_L -- [X,T]']",2, 1l + 2tau + MET
L_3 L E_3,l,tau_L,TX,"['l -- (X) -- W^+ -- (X) -- tau_L -- [X,T]']",2, 1tau + MET
L_3 L E_3,l,tau,TTlX,"['l -- (l) -- B -- (T) -- tau -- [T,X]']",2, 1l + 2tau + MET
L L E,nu,nu,ll,"['nu -- [l,l]']",0, 2l
L L E,nu,e,llX,"['nu -- (X) -- B -- (l) -- e -- [l,X]']",2, 2l + MET
L_3 L E,nu,nu_tau,Tlll,"['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,l]']",2, 3l + 1tau
L_3 L E,nu,nu_tau,llX,"['nu -- (X) -- W^0 -- (X) -- nu_tau -- [l,l]', 'nu -- (X) -- B -- (X) -- nu_tau -- [l,l]']",2, 2l + MET
L_3 L E,nu,e,llX,"['nu -- (X) -- B -- (l) -- e -- [l,X]']",2, 2l + MET
L_3 L E,nu,tau_L,llX,"['nu -- (l) -- W^+ -- (X) -- tau_L -- [X,l]']",2, 2l + MET
L_3 L E,nu,tau_L,TlX,"['nu -- (X) -- B -- (T) -- tau_L -- [X,l]', 'nu -- (X) -- W^0 -- (T) -- tau_L -- [X,l]']",2, 1l + 1tau + MET
L_3 L E,nu,nu,Tl,"['nu -- [T,l]']",0, 1l + 1tau
L_3 L E,nu,e,TlX,"['nu -- (X) -- B -- (l) -- e -- [T,X]']",2, 1l + 1tau + MET
L L E_3,nu,nu,Tl,"['nu -- [l,T]']",0, 1l + 1tau
L L E_3,nu,tau,TlX,"['nu -- (X) -- B -- (T) -- tau -- [l,X]']",2, 1l + 1tau + MET
L_3 L E_3,nu,nu_tau,TTll,"['nu -- (l) -- W^+ -- (T) -- nu_tau -- [l,T]']",2, 2l + 2tau
L_3 L E_3,nu,nu_tau,TlX,"['nu -- (X) -- B -- (X) -- nu_tau -- [l,T]', 'nu -- (X) -- W^0 -- (X) -- nu_tau -- [l,T]']",2, 1l + 1tau + MET
L_3 L E_3,nu,tau,TlX,"['nu -- (X) -- B -- (T) -- tau -- [l,X]']",2, 1l + 1tau + MET
L_3 L E_3,nu,tau_L,TlX,"['nu -- (l) -- W^+ -- (X) -- tau_L -- [X,T]']",2, 1l + 1tau + MET
L_3 L E_3,nu,tau_L,TTX,"['nu -- (X) -- B -- (T) -- tau_L -- [X,T]', 'nu -- (X) -- W^0 -- (T) -- tau_L -- [X,T]']",2, 2tau + MET
L_3 L E_3,nu,nu,TT,"['nu -- [T,T]']",0, 2tau
