Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L Q_3 D_3,tau_L,l,tbX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [t,b]']",2, 1t + 1b + MET
L Q_3 D_3,tau_L,t_L,bblX,"['tau_L -- (X) -- W^+ -- (b) -- t_L -- [l,b]']",2, 2b + 1l + MET
L Q_3 D_3,tau_L,t_L,tbTl,"['tau_L -- (T) -- W^0 -- (t) -- t_L -- [l,b]', 'tau_L -- (T) -- B -- (t) -- t_L -- [l,b]']",2, 1t + 1b + 1l + 1tau
L Q_3 D_3,tau_L,b,tbTl,"['tau_L -- (T) -- B -- (b) -- b -- [l,t]']",2, 1t + 1b + 1l + 1tau
L Q_3 D_3,tau_L,nu,bblX,"['tau_L -- (X) -- W^+ -- (l) -- nu -- [b,b]']",2, 2b + 1l + MET
L Q_3 D_3,tau_L,nu,bbTX,"['tau_L -- (T) -- B -- (X) -- nu -- [b,b]', 'tau_L -- (T) -- W^0 -- (X) -- nu -- [b,b]']",2, 2b + 1tau + MET
L Q_3 D_3,tau_L,b_L,bbTX,"['tau_L -- (T) -- W^0 -- (b) -- b_L -- [X,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [X,b]']",2, 2b + 1tau + MET
L Q_3 D_3,tau_L,b_L,tbX,"['tau_L -- (X) -- W^+ -- (t) -- b_L -- [X,b]']",2, 1t + 1b + MET
L Q_3 D_3,tau_L,b,bbTX,"['tau_L -- (T) -- B -- (b) -- b -- [X,b]']",2, 2b + 1tau + MET
L_3 Q D,tau_L,tau_L,jj,"['tau_L -- [j,j]']",0, 2j_l
L_3 Q D,tau_L,q,jjTT,"['tau_L -- (T) -- W^0 -- (j) -- q -- [T,j]', 'tau_L -- (T) -- B -- (j) -- q -- [T,j]']",2, 2j_l + 2tau
L_3 Q D,tau_L,q,jjTX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [T,j]']",2, 2j_l + 1tau + MET
L_3 Q D,tau_L,d,jjTT,"['tau_L -- (T) -- B -- (j) -- d -- [T,j]']",2, 2j_l + 2tau
L_3 Q D,tau_L,q,jjTX,"['tau_L -- (T) -- W^0 -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]']",2, 2j_l + 1tau + MET
L_3 Q D,tau_L,q,jjX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']",2, 2j_l + MET
L_3 Q D,tau_L,d,jjTX,"['tau_L -- (T) -- B -- (j) -- d -- [X,j]']",2, 2j_l + 1tau + MET
L_3 Q D_3,tau_L,tau_L,bj,"['tau_L -- [j,b]']",0, 1j_l + 1b
L_3 Q D_3,tau_L,q,bjTT,"['tau_L -- (T) -- B -- (j) -- q -- [T,b]', 'tau_L -- (T) -- W^0 -- (j) -- q -- [T,b]']",2, 1j_l + 1b + 2tau
L_3 Q D_3,tau_L,q,bjTX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [T,b]']",2, 1j_l + 1b + 1tau + MET
L_3 Q D_3,tau_L,b,bjTT,"['tau_L -- (T) -- B -- (b) -- b -- [T,j]']",2, 1j_l + 1b + 2tau
L_3 Q D_3,tau_L,q,bjTX,"['tau_L -- (T) -- W^0 -- (j) -- q -- [X,b]', 'tau_L -- (T) -- B -- (j) -- q -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L_3 Q D_3,tau_L,q,bjX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [X,b]']",2, 1j_l + 1b + MET
L_3 Q D_3,tau_L,b,bjTX,"['tau_L -- (T) -- B -- (b) -- b -- [X,j]']",2, 1j_l + 1b + 1tau + MET
L_3 Q_3 D,tau_L,tau_L,tj,"['tau_L -- [t,j]']",0, 1j_l + 1t
L_3 Q_3 D,tau_L,t_L,bjTX,"['tau_L -- (X) -- W^+ -- (b) -- t_L -- [T,j]']",2, 1j_l + 1b + 1tau + MET
L_3 Q_3 D,tau_L,t_L,tjTT,"['tau_L -- (T) -- W^0 -- (t) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (t) -- t_L -- [T,j]']",2, 1j_l + 1t + 2tau
L_3 Q_3 D,tau_L,d,tjTT,"['tau_L -- (T) -- B -- (j) -- d -- [T,t]']",2, 1j_l + 1t + 2tau
L_3 Q_3 D,tau_L,b_L,bjTX,"['tau_L -- (T) -- W^0 -- (b) -- b_L -- [X,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [X,j]']",2, 1j_l + 1b + 1tau + MET
L_3 Q_3 D,tau_L,b_L,tjX,"['tau_L -- (X) -- W^+ -- (t) -- b_L -- [X,j]']",2, 1j_l + 1t + MET
