CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
U D_3 D_3,"['l', 'nu']",{'bbbbjjll'},{'bbbbjjlX'},{'bbbbjjX'},"{'bbbbjjll', 'bbbbjjlX', 'bbbbjjX'}",bbbbjjll,bbbbXjjl,bbbbXjj,bbbbjj,['bbbbjjll'],['bbbbjjlX'],['bbbbjjX'],"['bbbbjjlX', 'bbbbjjX', 'bbbbjjll']"
U D_3 D_3,['e'],{'bbbbjjll'},-,-,{'bbbbjjll'},bbbbjjll,-,-,bbbbjjll,['bbbbjjll'],-,-,['bbbbjjll']
U D_3 D_3,"['b_L', 't_L']","{'ttttbbjj', 'bbbbbbjj', 'ttbbbbjj'}","{'tbbbbbjj', 'tttbbbjj'}",{'ttbbbbjj'},{'3333bbjj'},bbjj,tbbbjj,ttbbbbjj,bbjj,"['ttttbbjj', 'bbbbbbjj', 'ttbbbbjj']","['bbtbbbjj', 'tttbbbjj']",['ttbbbbjj'],['3333bbjj']
U D_3 D_3,['t'],{'ttbbbbjj'},-,-,{'ttbbbbjj'},ttbbbbjj,-,-,ttbbbbjj,['ttbbbbjj'],-,-,['ttbbbbjj']
U D_3 D_3,['b'],"{'bbbbbbjj', 'bbbbjj', 'bbjj'}",-,-,"{'bbbbbbjj', 'bbbbjj', 'bbjj'}",bbjj,-,-,bbjj,"['bbbbjj', 'bbbbbbjj', 'bbjj']",-,-,"['bbbbjj', 'bbbbbbjj', 'bbjj']"
U D_3 D_3,"['tau_L', 'nu_tau']",{'bbbbjjTT'},{'bbbbjjTX'},{'bbbbjjX'},"{'bbbbjjTT', 'bbbbjjX', 'bbbbjjTX'}",bbbbjjTT,bbbbXjjT,bbbbXjj,bbbbjj,['bbbbjjTT'],['bbbbjjTX'],['bbbbjjX'],"['bbbbjjTX', 'bbbbjjX', 'bbbbjjTT']"
U D_3 D_3,['tau'],{'bbbbjjTT'},-,-,{'bbbbjjTT'},bbbbjjTT,-,-,bbbbjjTT,['bbbbjjTT'],-,-,['bbbbjjTT']
U_3 D D,['B'],{'ttjjjj'},-,-,{'ttjjjj'},ttjjjj,-,-,ttjjjj,['ttjjjj'],-,-,['ttjjjj']
U_3 D D,"['W^+', 'W^0']","{'ttjjjjLLX', 'ttttbbjjjj', 'vvvvttjjjj', 'vvtttbjjjj', 'vvv3tjjjj', 'vvttjjjjLX', 'tttbjjjjLX', 'ttjjjjjjLX', 'v3tjjjjLX', 'vvttjjjjjj', 'v3ttbjjjj', 'tttbjjjjjj', 'v3tjjjjjj', 'ttjjjjjjjj', 'vv33jjjj'}","{'v3tjjjjTT', 'v3tjjjjll', 'vvttjjjjX', 'v3tjjjjLX', 'ttjjjjjjTT', 'v333tjjjj', 'vvttjjjjTT', 'tttttbjjjj', 'vvttjjjjll', 'v3tjjjjX', 'vvv3tjjjj', 'vvttjjjjLX', 'vv33ttjjjj', 'ttjjjjjjjj', 'ttbbjjjjLX', 'tttbjjjjX', 'ttjjjjLX', 'vvttjjjjjj', '33ttjjjjjj', 'ttjjjjjjX', 'v3tjjjjjj', 'tttbjjjjTT', 'ttttjjjjLX', 'vvvvttjjjj', 'ttjjjjLLLX', 'ttjjjjjjll', 'tttbbbjjjj', 'ttjjjjjjLX', 'tttbjjjjll', 'vv33jjjj'}","{'v3tjjjjTT', 'v3tjjjjll', 'vvttjjjjX', 'ttjjjjjjTT', 'ttjjjjX', 'ttbbjjjjjj', 'v333tjjjj', 'ttttjjjjX', 'vvttjjjjTT', 'ttjjjjTTX', 'vvttjjjjll', 'v3tjjjjX', 'vvv3tjjjj', 'ttbbjjjjX', 'ttjjjjTTTT', 'ttbbjjjjTT', 'ttjjjjjjjj', 'ttjjjjTTll', 'ttttjjjjll', 'ttttjjjjjj', 'vvttjjjjjj', 'ttttttjjjj', 'ttjjjjjjX', 'v3tjjjjjj', 'ttbbjjjjll', 'ttttbbjjjj', 'ttjjjjllX', 'vvvvttjjjj', 'ttttjjjjTT', 'ttjjjjjjll', 'vvttttjjjj', 'ttbbbbjjjj', 'vvttbbjjjj', 'ttjjjjllll', 'vv33jjjj'}","{'33ttjjjjll', 'v3tjjjjTT', 'v3tjjjjll', 'vvttjjjjX', 'v3tjjjjLX', 'ttjjjjjjTT', 'ttjjjjX', 'v333tjjjj', 'vvttjjjjTT', '33ttjjjjTT', 'vvttjjjjll', 'v3tjjjjX', 'vvv3tjjjj', 'vvttjjjjLX', '33ttjjjjX', 'ttjjjjTTTT', 'vv33ttjjjj', 'ttjjjjjjjj', '33ttjjjjLX', '3333ttjjjj', 'ttjjjjLLX', 'ttjjjjTTll', 'ttjjjjLX', 'vvttjjjjjj', '33ttjjjjjj', 'ttjjjjjjX', 'v3tjjjjjj', 'vvvvttjjjj', 'ttjjjjLLLX', 'ttjjjjjjll', 'ttjjjjjjLX', 'ttjjjjllll', 'vv33jjjj'}",jjjj,jjjj,jjjj,jjjj,"['ttjjjjLLX', 'vv33jjjj', 'v3tjjjjLX', 'tbvvttjjjj', 'jjvvttjjjj', 'vvttjjjjLX', 'vvvvttjjjj', 'tbv3tjjjj', 'jjv3tjjjj', 'vvv3tjjjj', 'ttbbttjjjj', 'tbjjttjjjj', 'jjjjttjjjj', 'tbttjjjjLX', 'jjttjjjjLX']","['jjTTttjjjj', 'tbTTttjjjj', 'jjllttjjjj', 'tbllttjjjj', 'vvttjjjjX', 'v3tjjjjX', 'vv33jjjj', 'ttjjjjLLLX', '(JJ)vvttjjjj', 'v3tjjjjLX', '(LL)vvttjjjj', 'vvttjjjjLX', '(JJ)v3tjjjj', '(LL)v3tjjjj', 'vvv3tjjjj', 'vvvvttjjjj', 'ttjjjjLX', 'tttbttjjjj', 'jjjjttjjjj', '33jjttjjjj', 'tbbbttjjjj', '(JJ)ttjjjjLX', 'tbttjjjjX', 'jjttjjjjX']","['jjTTttjjjj', 'bbTTttjjjj', 'ttllttjjjj', 'bbllttjjjj', 'ttTTttjjjj', 'jjllttjjjj', 'vvttjjjjX', 'v3tjjjjX', '(LL)ttjjjjX', 'vv33jjjj', 'TTTTttjjjj', 'TTllttjjjj', 'llllttjjjj', '(JJ)vvttjjjj', '(LL)vvttjjjj', '(JJ)v3tjjjj', '(LL)v3tjjjj', 'vvv3tjjjj', 'vvvvttjjjj', 'bbjjttjjjj', 'jjjjttjjjj', 'ttjjttjjjj', 'ttttttjjjj', 'ttbbttjjjj', 'bbbbttjjjj', 'ttjjjjX', '(JJ)ttjjjjX']","['ttjjjjLLX', '(JJ)v3tjjjj', '33llttjjjj', 'jjTTttjjjj', '33TTttjjjj', 'jjllttjjjj', 'vv33jjjj', 'ttjjjjLLLX', '(JJ)vvttjjjj', '(LL)v3tjjjj', 'jjjjttjjjj', '3333ttjjjj', '33jjttjjjj', '(JJ)ttjjjjLX', '(JJ)ttjjjjX', 'vvttjjjjX', 'v3tjjjjX', 'TTTTttjjjj', 'TTllttjjjj', 'llllttjjjj', 'vvttjjjjLX', 'vvv3tjjjj', 'v3tjjjjLX', '(LL)vvttjjjj', 'vvvvttjjjj', 'ttjjjjLX', 'ttjjjjX']"
U_3 D D,['G'],{'ttjjjj'},-,-,{'ttjjjj'},ttjjjj,-,-,ttjjjj,['ttjjjj'],-,-,['ttjjjj']
U_3 D D,"['H^+', 'H^0']","{'vtbjjjj', 'bbjjjj', 'vvttjjjj'}","{'tbjjjj', 'vvttjjjj', 'v3tjjjj'}","{'vttjjjj', 'vvttjjjj', 'ttjjjj'}","{'v3tjjjj', 'vvttjjjj', '33jjjj'}",jjjj,tjjjj,ttjjjj,jjjj,"['bbjjjj', 'vtbjjjj', 'vvttjjjj']","['tbjjjj', 'v3tjjjj', 'vvttjjjj']","['ttjjjj', 'vttjjjj', 'vvttjjjj']","['33jjjj', 'v3tjjjj', 'vvttjjjj']"
U_3 D D,['q'],{'ttjjjjjj'},-,-,{'ttjjjjjj'},ttjjjjjj,-,-,ttjjjjjj,['ttjjjjjj'],-,-,['ttjjjjjj']
U_3 D D,['d'],"{'ttjjjjjj', 'ttjjjj', 'ttjj'}",-,-,"{'ttjjjjjj', 'ttjjjj', 'ttjj'}",ttjj,-,-,ttjj,"['ttjjjj', 'ttjjjjjj', 'ttjj']",-,-,"['ttjjjj', 'ttjjjjjj', 'ttjj']"
U_3 D D,['u'],{'ttjjjjjj'},-,-,{'ttjjjjjj'},ttjjjjjj,-,-,ttjjjjjj,['ttjjjjjj'],-,-,['ttjjjjjj']
