CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,L L E,W^+,W^+,jjjlX,lX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- [X,l]']",jjjllX, 3j_l + 1l + MET, 1l + MET, 3j_l + 2l + MET
U D D,L L E,W^+,W^+,jjjlX,lllX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",jjjllllX, 3j_l + 1l + MET, 3l + MET, 3j_l + 4l + MET
U D D,L L E,W^+,W^+,jjjlX,TllX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",jjjTlllX, 3j_l + 1l + MET, 2l + 1tau + MET, 3j_l + 3l + 1tau + MET
U D D,L L E,W^+,W^+,jjjlX,tbllX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",tbjjjlllX, 3j_l + 1l + MET, 1t + 1b + 2l + MET, 3j_l + 1t + 1b + 3l + MET
U D D,L L E,W^+,W^+,jjjlX,vvllX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']",vvjjjlllX, 3j_l + 1l + MET, 2l + 2v + MET, 3j_l + 3l + 2v + MET
U D D,L L E,W^+,W^+,jjjlX,jjllX,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']",jjjjjlllX, 3j_l + 1l + MET, 2j_l + 2l + MET, 5j_l + 3l + MET
U D D,L L E,W^+,W^+,jjjlX,lll,"['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']","['W^+ -- (l) -- nu -- [l,l]']",jjjllllX, 3j_l + 1l + MET, 3l, 3j_l + 4l + MET
U D D,L L E,W^+,W^+,jjjTX,lX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- [X,l]']",jjjTlX, 3j_l + 1tau + MET, 1l + MET, 3j_l + 1l + 1tau + MET
U D D,L L E,W^+,W^+,jjjTX,lllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- l -- (l) -- B -- (l) -- e -- [l,X]']",jjjTlllX, 3j_l + 1tau + MET, 3l + MET, 3j_l + 3l + 1tau + MET
U D D,L L E,W^+,W^+,jjjTX,TllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (l) -- e -- [l,X]']",jjjTTllX, 3j_l + 1tau + MET, 2l + 1tau + MET, 3j_l + 2l + 2tau + MET
U D D,L L E,W^+,W^+,jjjTX,tbllX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']","['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,X]']",tbjjjTllX, 3j_l + 1tau + MET, 1t + 1b + 2l + MET, 3j_l + 1t + 1b + 2l + 1tau + MET
