CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 L E,G,G,jjTlE,jjTlE,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",jjjjTTllE, 2j_l + 1l + 1tau + MET, 2j_l + 1l + 1tau + MET, 4j_l + 2l + 2tau + MET
L_3 L E,G,G,jjTlE,ttllE,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",ttjjTlllE, 2j_l + 1l + 1tau + MET, 2t + 2l + MET, 2j_l + 2t + 3l + 1tau + MET
L_3 L E,G,G,jjTlE,ttTlE,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (t) -- t_L -- (t) -- B -- (T) -- tau_L -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [T,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [T,E]']",ttjjTTllE, 2j_l + 1l + 1tau + MET, 2t + 1l + 1tau + MET, 2j_l + 2t + 2l + 2tau + MET
L_3 L E,G,G,jjTlE,jjlE,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjjjTllE, 2j_l + 1l + 1tau + MET, 2j_l + 1l + MET, 4j_l + 2l + 1tau + MET
L_3 L E,G,G,jjTlE,jjllE,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjjjTlllE, 2j_l + 1l + 1tau + MET, 2j_l + 2l + MET, 4j_l + 3l + 1tau + MET
L_3 L E,G,G,jjTlE,tbTll,"['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']","['G -- (b) -- b_L -- (t) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [T,l]']",tbjjTTlllE, 2j_l + 1l + 1tau + MET, 1t + 1b + 2l + 1tau, 2j_l + 1t + 1b + 3l + 2tau + MET
L_3 L E,G,G,ttllE,bbTlE,"['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (b) -- B -- (T) -- tau_L -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [T,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [T,E]']",ttbbTlllE, 2t + 2l + MET, 2b + 1l + 1tau + MET, 2t + 2b + 3l + 1tau + MET
L_3 L E,G,G,ttllE,bbllE,"['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",ttbbllllE, 2t + 2l + MET, 2b + 2l + MET, 2t + 2b + 4l + MET
L_3 L E,G,G,ttllE,tblE,"['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']",tttblllE, 2t + 2l + MET, 1t + 1b + 1l + MET, 3t + 1b + 3l + MET
L_3 L E,G,G,ttllE,jjTll,"['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']","['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",ttjjTllllE, 2t + 2l + MET, 2j_l + 2l + 1tau, 2j_l + 2t + 4l + 1tau + MET
