CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D_3,tau_L,nu_tau,bbTE,bbE,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,b]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,b]']",bbbbTE, 2b + 1tau + MET, 2b + MET, 4b + 1tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,bbTE,bbTT,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,b]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,b]']",bbbbTTTE, 2b + 1tau + MET, 2b + 2tau, 4b + 3tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbTT,tbTE,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,t]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,b]']",ttbbTTTE, 1t + 1b + 2tau, 1t + 1b + 1tau + MET, 2t + 2b + 3tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbTT,bb,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,t]']","['nu_tau -- [b,b]']",tbbbTT, 1t + 1b + 2tau, 2b, 1t + 3b + 2tau
L_3 Q_3 D_3,tau_L,nu_tau,tbTT,bbE,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,t]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,b]']",tbbbTTE, 1t + 1b + 2tau, 2b + MET, 1t + 3b + 2tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,tbTT,bbTT,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,t]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,b]']",tbbbTTTT, 1t + 1b + 2tau, 2b + 2tau, 1t + 3b + 4tau
L_3 Q_3 D_3,tau_L,nu_tau,tb,tbTE,"['tau_L -- [t,b]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,b]']",ttbbTE, 1t + 1b, 1t + 1b + 1tau + MET, 2t + 2b + 1tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,tb,bb,"['tau_L -- [t,b]']","['nu_tau -- [b,b]']",tbbb, 1t + 1b, 2b, 1t + 3b
L_3 Q_3 D_3,tau_L,nu_tau,tb,bbE,"['tau_L -- [t,b]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,b]']",tbbbE, 1t + 1b, 2b + MET, 1t + 3b + MET
L_3 Q_3 D_3,tau_L,nu_tau,tb,bbTT,"['tau_L -- [t,b]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,b]']",tbbbTT, 1t + 1b, 2b + 2tau, 1t + 3b + 2tau
