CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q D_3,tau,tau,bjTE,bjTE,"['tau -- (T) -- B -- (E) -- nu_tau -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']","['tau -- (T) -- B -- (E) -- nu_tau -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']",bbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 2tau + MET
L_3 Q D_3,tau,tau,bjTE,bjTT,"['tau -- (T) -- B -- (E) -- nu_tau -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']","['tau -- (T) -- B -- (T) -- tau_L -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,j]']",bbjjTTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 2tau, 2j_l + 2b + 3tau + MET
L_3 Q D_3,tau,tau,bjTT,bjTE,"['tau -- (T) -- B -- (T) -- tau_L -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,j]']","['tau -- (T) -- B -- (E) -- nu_tau -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']",bbjjTTTE, 1j_l + 1b + 2tau, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 3tau + MET
L_3 Q D_3,tau,tau,bjTT,bjTT,"['tau -- (T) -- B -- (T) -- tau_L -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,j]']","['tau -- (T) -- B -- (T) -- tau_L -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,j]']",bbjjTTTT, 1j_l + 1b + 2tau, 1j_l + 1b + 2tau, 2j_l + 2b + 4tau
L_3 Q_3 D,tau,tau,bjTE,bjTE,"['tau -- (T) -- B -- (E) -- nu_tau -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']","['tau -- (T) -- B -- (E) -- nu_tau -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']",bbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 2tau + MET
L_3 Q_3 D,tau,tau,bjTE,tjTT,"['tau -- (T) -- B -- (E) -- nu_tau -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']","['tau -- (T) -- B -- (T) -- tau_L -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,t]']",tbjjTTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1t + 2tau, 2j_l + 1t + 1b + 3tau + MET
L_3 Q_3 D,tau,tau,tjTT,bjTE,"['tau -- (T) -- B -- (T) -- tau_L -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,t]']","['tau -- (T) -- B -- (E) -- nu_tau -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']",tbjjTTTE, 1j_l + 1t + 2tau, 1j_l + 1b + 1tau + MET, 2j_l + 1t + 1b + 3tau + MET
L_3 Q_3 D,tau,tau,tjTT,tjTT,"['tau -- (T) -- B -- (T) -- tau_L -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,t]']","['tau -- (T) -- B -- (T) -- tau_L -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,t]']",ttjjTTTT, 1j_l + 1t + 2tau, 1j_l + 1t + 2tau, 2j_l + 2t + 4tau
L_3 Q_3 D_3,tau,tau,tbTT,tbTT,"['tau -- (T) -- B -- (T) -- tau_L -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,t]']","['tau -- (T) -- B -- (T) -- tau_L -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,t]']",ttbbTTTT, 1t + 1b + 2tau, 1t + 1b + 2tau, 2t + 2b + 4tau
L_3 Q_3 D_3,tau,tau,tbTT,bbTE,"['tau -- (T) -- B -- (T) -- tau_L -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,t]']","['tau -- (T) -- B -- (E) -- nu_tau -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']",tbbbTTTE, 1t + 1b + 2tau, 2b + 1tau + MET, 1t + 3b + 3tau + MET
L_3 Q_3 D_3,tau,tau,bbTE,tbTT,"['tau -- (T) -- B -- (E) -- nu_tau -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']","['tau -- (T) -- B -- (T) -- tau_L -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [T,b]', 'tau -- (T) -- B -- (b) -- b -- [T,t]']",tbbbTTTE, 2b + 1tau + MET, 1t + 1b + 2tau, 1t + 3b + 3tau + MET
L_3 Q_3 D_3,tau,tau,bbTE,bbTE,"['tau -- (T) -- B -- (E) -- nu_tau -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']","['tau -- (T) -- B -- (E) -- nu_tau -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']",bbbbTTE, 2b + 1tau + MET, 2b + 1tau + MET, 4b + 2tau + MET
U D D,tau,tau,jjjT,jjjT,"['tau -- (T) -- B -- (j) -- u -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [j,j]']","['tau -- (T) -- B -- (j) -- u -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [j,j]']",jjjjjjTT, 3j_l + 1tau, 3j_l + 1tau, 6j_l + 2tau
U D_3 D,tau,tau,bjjT,bjjT,"['tau -- (T) -- B -- (j) -- u -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,j]']","['tau -- (T) -- B -- (j) -- u -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,j]']",bbjjjjTT, 2j_l + 1b + 1tau, 2j_l + 1b + 1tau, 4j_l + 2b + 2tau
U D_3 D_3,tau,tau,bbjT,bbjT,"['tau -- (T) -- B -- (j) -- u -- [b,b]', 'tau -- (T) -- B -- (b) -- b -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,b]']","['tau -- (T) -- B -- (j) -- u -- [b,b]', 'tau -- (T) -- B -- (b) -- b -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,b]']",bbbbjjTT, 1j_l + 2b + 1tau, 1j_l + 2b + 1tau, 2j_l + 4b + 2tau
U_3 D D,tau,tau,tjjT,tjjT,"['tau -- (T) -- B -- (t) -- t -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [t,j]', 'tau -- (T) -- B -- (j) -- d -- [t,j]']","['tau -- (T) -- B -- (t) -- t -- [j,j]', 'tau -- (T) -- B -- (j) -- d -- [t,j]', 'tau -- (T) -- B -- (j) -- d -- [t,j]']",ttjjjjTT, 2j_l + 1t + 1tau, 2j_l + 1t + 1tau, 4j_l + 2t + 2tau
U_3 D_3 D,tau,tau,tbjT,tbjT,"['tau -- (T) -- B -- (t) -- t -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [t,b]', 'tau -- (T) -- B -- (b) -- b -- [t,j]']","['tau -- (T) -- B -- (t) -- t -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [t,b]', 'tau -- (T) -- B -- (b) -- b -- [t,j]']",ttbbjjTT, 1j_l + 1t + 1b + 1tau, 1j_l + 1t + 1b + 1tau, 2j_l + 2t + 2b + 2tau
U_3 D_3 D_3,tau,tau,tbbT,tbbT,"['tau -- (T) -- B -- (t) -- t -- [b,b]', 'tau -- (T) -- B -- (b) -- b -- [t,b]', 'tau -- (T) -- B -- (b) -- b -- [t,b]']","['tau -- (T) -- B -- (t) -- t -- [b,b]', 'tau -- (T) -- B -- (b) -- b -- [t,b]', 'tau -- (T) -- B -- (b) -- b -- [t,b]']",ttbbbbTT, 1t + 2b + 1tau, 1t + 2b + 1tau, 2t + 4b + 2tau
