CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D,l,nu,tjE,tjlE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [t,j]', 'l -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [t,j]', 'nu -- (l) -- W^+ -- (t) -- b_L -- [E,j]']",ttjjlE, 1j_l + 1t + MET, 1j_l + 1t + 1l + MET, 2j_l + 2t + 1l + MET
L_3 Q_3 D,l,nu,tjE,tjTE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [t,j]', 'l -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu -- (E) -- B -- (T) -- tau_L -- [t,j]', 'nu -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu -- (E) -- B -- (j) -- d -- [T,t]']",ttjjTE, 1j_l + 1t + MET, 1j_l + 1t + 1tau + MET, 2j_l + 2t + 1tau + MET
L_3 Q_3 D,l,nu,tjE,bjE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [t,j]', 'l -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,j]', 'nu -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,b]']",tbjjE, 1j_l + 1t + MET, 1j_l + 1b + MET, 2j_l + 1t + 1b + MET
L_3 Q_3 D,l,nu,tjE,bjTl,"['l -- (E) -- W^+ -- (E) -- tau_L -- [t,j]', 'l -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,j]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,j]']",tbjjTlE, 1j_l + 1t + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 1t + 1b + 1l + 1tau + MET
L_3 Q_3 D_3,l,nu,bblE,bbE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,b]', 'l -- (l) -- B -- (b) -- b_L -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,b]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,b]', 'nu -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,b]']",bbbblE, 2b + 1l + MET, 2b + MET, 4b + 1l + MET
L_3 Q_3 D_3,l,nu,bblE,bbTl,"['l -- (l) -- B -- (E) -- nu_tau -- [b,b]', 'l -- (l) -- B -- (b) -- b_L -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,b]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,b]']",bbbbTllE, 2b + 1l + MET, 2b + 1l + 1tau, 4b + 2l + 1tau + MET
L_3 Q_3 D_3,l,nu,bblE,tblE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,b]', 'l -- (l) -- B -- (b) -- b_L -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,b]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [t,b]', 'nu -- (l) -- W^+ -- (t) -- b_L -- [E,b]']",tbbbllE, 2b + 1l + MET, 1t + 1b + 1l + MET, 1t + 3b + 2l + MET
L_3 Q_3 D_3,l,nu,bblE,tbTE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,b]', 'l -- (l) -- B -- (b) -- b_L -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,b]']","['nu -- (E) -- B -- (T) -- tau_L -- [t,b]', 'nu -- (E) -- B -- (t) -- t_L -- [T,b]', 'nu -- (E) -- B -- (b) -- b -- [T,t]']",tbbbTlE, 2b + 1l + MET, 1t + 1b + 1tau + MET, 1t + 3b + 1l + 1tau + MET
L_3 Q_3 D_3,l,nu,tbTl,bbE,"['l -- (l) -- B -- (T) -- tau_L -- [t,b]', 'l -- (l) -- B -- (t) -- t_L -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,t]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,b]', 'nu -- (E) -- B -- (b) -- b_L -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,b]']",tbbbTlE, 1t + 1b + 1l + 1tau, 2b + MET, 1t + 3b + 1l + 1tau + MET
L_3 Q_3 D_3,l,nu,tbTl,bbTl,"['l -- (l) -- B -- (T) -- tau_L -- [t,b]', 'l -- (l) -- B -- (t) -- t_L -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,t]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,b]']",tbbbTTll, 1t + 1b + 1l + 1tau, 2b + 1l + 1tau, 1t + 3b + 2l + 2tau
