CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D_3,L_3 Q_3 D_3,B,B,bbj,tbT,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (T) -- tau_L -- [t,b]', 'B -- (t) -- t_L -- [T,b]', 'B -- (b) -- b -- [T,t]']",tbbbjT, 1j_l + 2b, 1t + 1b + 1tau, 1j_l + 1t + 3b + 1tau
U D_3 D_3,L_3 Q_3 D_3,B,B,bbj,bbX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu_tau -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbbbjX, 1j_l + 2b, 2b + MET, 1j_l + 4b + MET
U_3 D D,L Q D,B,B,tjj,jjl,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",tjjjjl, 2j_l + 1t, 2j_l + 1l, 4j_l + 1t + 1l
U_3 D D,L Q D,B,B,tjj,jjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",tjjjjX, 2j_l + 1t, 2j_l + MET, 4j_l + 1t + MET
U_3 D D,L Q D_3,B,B,tjj,bjl,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']",tbjjjl, 2j_l + 1t, 1j_l + 1b + 1l, 3j_l + 1t + 1b + 1l
U_3 D D,L Q D_3,B,B,tjj,bjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",tbjjjX, 2j_l + 1t, 1j_l + 1b + MET, 3j_l + 1t + 1b + MET
U_3 D D,L Q_3 D,B,B,tjj,tjl,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [t,j]', 'B -- (t) -- t_L -- [l,j]', 'B -- (j) -- d -- [l,t]']",ttjjjl, 2j_l + 1t, 1j_l + 1t + 1l, 3j_l + 2t + 1l
U_3 D D,L Q_3 D,B,B,tjj,bjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",tbjjjX, 2j_l + 1t, 1j_l + 1b + MET, 3j_l + 1t + 1b + MET
U_3 D D,L Q_3 D_3,B,B,tjj,tbl,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [t,b]', 'B -- (t) -- t_L -- [l,b]', 'B -- (b) -- b -- [l,t]']",ttbjjl, 2j_l + 1t, 1t + 1b + 1l, 2j_l + 2t + 1b + 1l
U_3 D D,L Q_3 D_3,B,B,tjj,bbX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",tbbjjX, 2j_l + 1t, 2b + MET, 2j_l + 1t + 2b + MET
U_3 D D,L_3 Q D,B,B,tjj,jjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu_tau -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",tjjjjX, 2j_l + 1t, 2j_l + MET, 4j_l + 1t + MET
U_3 D D,L_3 Q D,B,B,tjj,jjT,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [j,j]', 'B -- (j) -- q -- [T,j]', 'B -- (j) -- d -- [T,j]']",tjjjjT, 2j_l + 1t, 2j_l + 1tau, 4j_l + 1t + 1tau
U_3 D D,L_3 Q D_3,B,B,tjj,bjT,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [j,b]', 'B -- (j) -- q -- [T,b]', 'B -- (b) -- b -- [T,j]']",tbjjjT, 2j_l + 1t, 1j_l + 1b + 1tau, 3j_l + 1t + 1b + 1tau
U_3 D D,L_3 Q D_3,B,B,tjj,bjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu_tau -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",tbjjjX, 2j_l + 1t, 1j_l + 1b + MET, 3j_l + 1t + 1b + MET
U_3 D D,L_3 Q_3 D,B,B,tjj,tjT,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [t,j]', 'B -- (t) -- t_L -- [T,j]', 'B -- (j) -- d -- [T,t]']",ttjjjT, 2j_l + 1t, 1j_l + 1t + 1tau, 3j_l + 2t + 1tau
U_3 D D,L_3 Q_3 D,B,B,tjj,bjX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu_tau -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",tbjjjX, 2j_l + 1t, 1j_l + 1b + MET, 3j_l + 1t + 1b + MET
U_3 D D,L_3 Q_3 D_3,B,B,tjj,tbT,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [t,b]', 'B -- (t) -- t_L -- [T,b]', 'B -- (b) -- b -- [T,t]']",ttbjjT, 2j_l + 1t, 1t + 1b + 1tau, 2j_l + 2t + 1b + 1tau
U_3 D D,L_3 Q_3 D_3,B,B,tjj,bbX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (X) -- nu_tau -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",tbbjjX, 2j_l + 1t, 2b + MET, 2j_l + 1t + 2b + MET
U_3 D_3 D,L Q D,B,B,tbj,jjl,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",tbjjjl, 1j_l + 1t + 1b, 2j_l + 1l, 3j_l + 1t + 1b + 1l
U_3 D_3 D,L Q D,B,B,tbj,jjX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",tbjjjX, 1j_l + 1t + 1b, 2j_l + MET, 3j_l + 1t + 1b + MET
U_3 D_3 D,L Q D_3,B,B,tbj,bjl,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']",tbbjjl, 1j_l + 1t + 1b, 1j_l + 1b + 1l, 2j_l + 1t + 2b + 1l
U_3 D_3 D,L Q D_3,B,B,tbj,bjX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",tbbjjX, 1j_l + 1t + 1b, 1j_l + 1b + MET, 2j_l + 1t + 2b + MET
U_3 D_3 D,L Q_3 D,B,B,tbj,tjl,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [t,j]', 'B -- (t) -- t_L -- [l,j]', 'B -- (j) -- d -- [l,t]']",ttbjjl, 1j_l + 1t + 1b, 1j_l + 1t + 1l, 2j_l + 2t + 1b + 1l
U_3 D_3 D,L Q_3 D,B,B,tbj,bjX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (X) -- nu -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",tbbjjX, 1j_l + 1t + 1b, 1j_l + 1b + MET, 2j_l + 1t + 2b + MET
U_3 D_3 D,L Q_3 D_3,B,B,tbj,tbl,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [t,b]', 'B -- (t) -- t_L -- [l,b]', 'B -- (b) -- b -- [l,t]']",ttbbjl, 1j_l + 1t + 1b, 1t + 1b + 1l, 1j_l + 2t + 2b + 1l
U_3 D_3 D,L Q_3 D_3,B,B,tbj,bbX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (X) -- nu -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",tbbbjX, 1j_l + 1t + 1b, 2b + MET, 1j_l + 1t + 3b + MET
